service_date,day_type,bus,rail_boardings,total_rides
6/25/01,W,947130,621006,1568136
6/26/01,W,944301,635326,1579627
6/27/01,W,944274,634994,1579268
6/28/01,W,942731,611002,1553733
6/29/01,W,996694,666587,1663281
6/30/01,A,649995,363078,1013073
7/1/01,U,435317,271052,706369
7/2/01,W,958879,627767,1586646
7/3/01,W,990209,827670,1817879
7/4/01,U,461383,306172,767555
7/5/01,W,918500,606574,1525074
7/6/01,W,958011,643965,1601976
7/7/01,A,599172,347374,946546
7/8/01,U,439513,256208,695721
7/9/01,W,935542,597633,1533175
7/10/01,W,937066,610069,1547135
7/11/01,W,960775,614294,1575069
7/12/01,W,949551,636236,1585787
7/13/01,W,957097,641244,1598341
7/14/01,A,629660,333365,963025
7/15/01,U,420137,241827,661964
7/16/01,W,880246,623660,1503906
7/17/01,W,920250,625940,1546190
7/18/01,W,935427,612765,1548192
7/19/01,W,949691,618451,1568142
7/20/01,W,937942,610617,1548559
7/21/01,A,593545,305457,899002
7/22/01,U,379766,200473,580239
7/23/01,W,854318,574685,1429003
7/24/01,W,939133,630753,1569886
7/25/01,W,874776,612547,1487323
7/26/01,W,954848,636674,1591522
7/27/01,W,933625,634484,1568109
7/28/01,A,607195,357848,965043
7/29/01,U,432534,236416,668950
7/30/01,W,908372,586076,1494448
7/31/01,W,884617,596502,1481119
8/1/01,W,873553,612734,1486287
8/2/01,W,790639,549367,1340006
8/3/01,W,984483,603405,1587888
8/4/01,A,648406,319386,967792
8/5/01,U,453344,225172,678516
8/6/01,W,907499,585919,1493418
8/7/01,W,875431,610601,1486032
8/8/01,W,854367,596163,1450530
8/9/01,W,846305,602242,1448547
8/10/01,W,946431,626136,1572567
8/11/01,A,607614,323141,930755
8/12/01,U,420182,234020,654202
8/13/01,W,892382,571719,1464101
8/14/01,W,866757,598019,1464776
8/15/01,W,878793,584203,1462996
8/16/01,W,800887,581402,1382289
8/17/01,W,929083,598538,1527621
8/18/01,A,569201,296970,866171
8/19/01,U,439920,235842,675762
8/20/01,W,876831,606101,1482932
8/21/01,W,894995,608242,1503237
8/22/01,W,864392,599157,1463549
8/23/01,W,906026,612615,1518641
8/24/01,W,926014,619276,1545290
8/25/01,A,518211,290626,808837
8/26/01,U,439715,245014,684729
8/27/01,W,900370,590849,1491219
